Lake,Site,Constituent Name,Final,TrendConc,Direction,Final Slope,N,Site ANOVA,Seas ANOVA,Comments,Reveiwer Comments
Altus,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,23,NS,***,regression negative; minimal contribution,
Altus,all,Pheophytin A (ug/L),↓↓↓,Highly Likely Downward,down,-0.03508,23,NS,***,negative regression; fair model,
Altus,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,17,NS,***,question on model quality,
Altus,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,176.90,7,NS,NS,,
Altus,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.000034,24,NS,***,model and dist good;  use reg,
Altus,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,24,NS,***,no trend,
Altus,all,Turbidity (NTU),↓,Likely Downward,down,-0.4603,18,***,NS,use MK slope,
Arbuckle,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.6518,30,NS,*,Review model to determine slope; use sk,
Arbuckle,all,Secchi (cm),↓↓↓,Highly Likely Downward,down,-7.07,22,***,***,Poor model and ok dist: Look at sites; Use SK,
Arbuckle,all,SpC (uS/cm),NS Trend,No Significant Trend,N/A,N/A,44,NS,***,Reg not reliable,
Arbuckle,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.008325,38,NS,NS,Ready;  Use SK,
Arbuckle,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,36,NS,**,Ready,
Arbuckle,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.1308,23,***,***,Ready: Look at sites; use sk,
Arcadia,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.408,71,**,***,Ready; Look at sites; use reg,
Arcadia,all,Secchi (cm),↓↓,Somewhat Likely Downward,down,-2.196,68,***,***,Ready: Look at sites;  poor model and ok dist.  Use SK,
Arcadia,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.59,82,***,***,,
Arcadia,all,Total N (mg/L),↑↑↑,Highly Likely Upward,up,0.01579,83,NS,***,Ready;  Use SK,
Arcadia,all,Total P (mg/L),↑↑↑,Highly Likely Upward,up,0.002448,77,***,***,Ready; poor mod and dist model; Look at sites; diff dir;  review fully; use SK,
Arcadia,all,Turbidity (NTU),↓,Likely Downward,down,0.78410,72,NS,NS,use MK slope,
Atoka,all,Chlorophyll (ug/L),NS Trend,No Significant Trend,N/A,N/A,26,**,***,Ready;  Look at sites,
Atoka,all,Secchi (cm),NS Trend,No Significant Trend,N/A,N/A,20,***,***,Ready; model good; Look at sites; review fully,
Atoka,all,SpC (uS/cm),↑↑↑,Highly Likely Upward,up,1.53,42,NS,*,,
Atoka,all,Total N (mg/L),↓↓,Somewhat Likely Downward,down,-0.0192,44,***,***,Ready; model performed fair; look at sites; use reg,
Atoka,all,Total P (mg/L),↓↓↓,Highly Likely Downward,down,-0.00664,38,***,***,Ready; good model; Look at sites; use reg,
Atoka,all,Turbidity (NTU),NS Trend,No Significant Trend,N/A,N/A,24,***,***,Ready; Look at sites,
Bellcow,all,Chlorophyll (ug/L),↑↑↑,Highly Likely Upward,up,0.4549,35,***,***,model and dist ok; use non-p slope,
Bellcow,all,Pheophytin A (ug/L),↑↑↑,Highly Likely Upward,up,0.697,35,*,***,model and dist good; use reg slope,
Bellcow,all,Secchi (cm),↑↑↑,Highly Likely Upward,up,0.0037,26,*,NS,model good and dist ok; use reg slope,
Bellcow,all,SpC (uS/cm),↑↑,Somewhat Likely Upward,up,0.90,36,*,NS,Reg not reliable,
Bellcow,all,Total N (mg/L),↑↑,Somewhat Likely Upward,up,0.006736,35,***,NS,poor dist and model ok; use n-p slope,
Bellcow,all,Total P (mg/L),NS Trend,No Significant Trend,N/A,N/A,35,***,NS,poor dist and model ok,
Bellcow,all,Turbidity (NTU),↓↓,Somewhat Likely Downward,down,-0.6172,26,***,NS,poor model and dist; use mk,
