Lake,Latitude,Longitude,County,Country,Site,Constituent_Name,Trend_Arrows,Trend_Direction,Trend,Final_Slope,N,Site_ANOVA,Seasonal_ANOVA,POR_Start ,POR_End,%change,POR_Years,Y-intercept,End_Point,units
Altus,34.887219,-99.294858,Greer,US,Whole Lake,Chlorophyll (ug/L),0,,NS Trend,N/A,23,NS,***,11/28/2002,9/28/2021,NS Trend,19,NS Trend,NS Trend,ug/L
Altus,34.887219,-99.294858,Greer,US,Whole Lake,Total Nitrogen (mg/L),3,,↑↑↑,0.0153,24,NS,***,10/13/1999,9/28/2021,32.8%,22,0.69,1.03,mg/L
Altus,34.887219,-99.294858,Greer,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,17,NS,***,9/7/2004,9/28/2021,NS Trend,17,NS Trend,NS Trend,cm
Altus,34.887219,-99.294858,Greer,US,Whole Lake,Conductivity (uS/cm),99,N/A,NEI,N/A,7,NS,NS,NEI,NEI,NEI,NEI,NEI,NEI,uS/cm
Altus,34.887219,-99.294858,Greer,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,24,NS,***,10/13/1999,9/28/2021,NS Trend,22,NS Trend,NS Trend,mg/L
Altus,34.887219,-99.294858,Greer,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.4603,18,***,NS,9/7/2004,10/29/2021,-56.0%,17,22,14.10,NTU
Arbuckle,34.433106,-97.026622,Murray,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.635,30,NS,*,6/3/2003,5/2/2023,71.7%,20,5,17.65,ug/L
Arbuckle,34.433106,-97.026622,Murray,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.009329,40,NS,NS,11/16/1999,8/22/2023,33.0%,24,0.45,0.67,mg/L
Arbuckle,34.433106,-97.026622,Murray,US,Whole Lake,Secchi (cm),-1,down,↓,-5.706,25,***,***,11/9/2004,6/5/2023,-145.3%,19,179,72.98,cm
Arbuckle,34.433106,-97.026622,Murray,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,44,NS,***,6/6/1998,11/8/2023,NS Trend,25,NS Trend,NS Trend,uS/cm
Arbuckle,34.433106,-97.026622,Murray,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,36,NS,**,11/16/1999,5/2/2023,NS Trend,23,NS Trend,NS Trend,mg/L
Arbuckle,34.433106,-97.026622,Murray,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.1259,26,***,***,11/9/2004,6/5/2023,-59.1%,19,6.3,3.96,NTU
Arcadia,35.64894,-97.36424,Oklahoma,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,77,**,***,6/11/2003,11/21/2022,NS Trend,19,NS Trend,NS Trend,ug/L
Arcadia,35.64894,-97.36424,Oklahoma,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.008867,83,NS,***,10/13/1999,11/21/2022,19.4%,23,0.85,1.06,mg/L
Arcadia,35.64894,-97.36424,Oklahoma,US,Whole Lake,Secchi (cm),-2,down,↓↓,-1.244,74,***,***,3/9/2005,11/21/2022,-51.3%,18,65,42.96,cm
Arcadia,35.64894,-97.36424,Oklahoma,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,1.59,82,***,***,10/13/1999,11/12/2022,8.6%,23,390,426.73,uS/cm
Arcadia,35.64894,-97.36424,Oklahoma,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.0008402,83,***,***,10/13/1999,11/21/2022,21.7%,23,0.07,0.09,mg/L
Arcadia,35.64894,-97.36424,Oklahoma,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,78,NS,NS,9/9/2004,11/21/2022,NS Trend,18,NS Trend,NS Trend,NTU
Atoka,34.446236,-96.087172,Atoka,US,Whole Lake,Chlorophyll (ug/L),-2,down,↓↓,-0.2819,32,**,***,8/6/2002,11/8/2022,-133.3%,20,10,4.29,ug/L
Atoka,34.446236,-96.087172,Atoka,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,44,***,***,11/5/2001,1/23/2023,NS Trend,21,NS Trend,NS Trend,mg/L
Atoka,34.446236,-96.087172,Atoka,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,20,***,***,12/7/2004,11/8/2022,NS Trend,18,NS Trend,NS Trend,cm
Atoka,34.446236,-96.087172,Atoka,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,1.81,41,NS,*,8/6/1997,3/3/2023,41.6%,26,65,111.26,uS/cm
Atoka,34.446236,-96.087172,Atoka,US,Whole Lake,Total Phosphorus (mg/L),-2,down,↓↓,-0.001117,38,***,***,11/6/2001,11/8/2022,-41.5%,21,0.08,0.06,mg/L
Atoka,34.446236,-96.087172,Atoka,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,24,***,***,12/7/2004,11/8/2022,NS Trend,18,NS Trend,NS Trend,NTU
Bellcow,35.731678,-96.918081,Lincoln,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.4549,35,***,***,2/28/2002,12/16/2022,51.3%,21,9,18.47,ug/L
Bellcow,35.731678,-96.918081,Lincoln,US,Whole Lake,Total Nitrogen (mg/L),1,up,↑,0.005669,35,***,NS,12/3/2001,11/9/2022,11.7%,21,0.9,1.02,mg/L
Bellcow,35.731678,-96.918081,Lincoln,US,Whole Lake,Secchi (cm),3,up,↑↑↑,2.074,26,*,NS,12/2/2009,11/9/2022,40.5%,13,39.5,66.35,cm
Bellcow,35.731678,-96.918081,Lincoln,US,Whole Lake,Conductivity (uS/cm),0,N/A,NS Trend,N/A,34,*,NS,12/3/2001,1/24/2023,NS Trend,21,NS Trend,NS Trend,uS/cm
Bellcow,35.731678,-96.918081,Lincoln,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,35,***,NS,12/3/2001,11/9/2022,NS Trend,21,NS Trend,NS Trend,mg/L
Bellcow,35.731678,-96.918081,Lincoln,US,Whole Lake,Turbidity (NTU),-2,down,↓↓,-0.6172,26,***,NS,12/2/2009,12/2/2022,-64.4%,13,20.5,12.47,NTU
Birch,36.533092,-96.163586,Osage,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,30,NS,*,6/9/2003,9/27/2021,NS Trend,18,NS Trend,NS Trend,ug/L
Birch,36.533092,-96.163586,Osage,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.008059,36,*,***,10/19/1999,11/6/2021,22.9%,22,0.6,0.78,mg/L
Birch,36.533092,-96.163586,Osage,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,21,NS,***,8/21/2007,9/27/2021,NS Trend,14,NS Trend,NS Trend,cm
Birch,36.533092,-96.163586,Osage,US,Whole Lake,Conductivity (uS/cm),2,up,↑↑,1.72,38,NS,NS,10/19/1999,11/6/2021,21.3%,22,140,177.95,uS/cm
Birch,36.533092,-96.163586,Osage,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,36,*,***,10/19/1999,9/24/2001,NS Trend,2,NS Trend,NS Trend,mg/L
Birch,36.533092,-96.163586,Osage,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,28,NS,***,9/20/2004,9/27/2021,NS Trend,17,NS Trend,NS Trend,NTU
Bluestem,36.695208,-96.396675,Osage,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,0.1032,25,*,***,9/29/2003,8/12/2019,30.1%,16,3.8,5.44,ug/L
Bluestem,36.695208,-96.396675,Osage,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,35,NS,***,4/28/1998,8/12/2019,NS Trend,21,NS Trend,NS Trend,mg/L
Bluestem,36.695208,-96.396675,Osage,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,26,***,***,10/29/2001,8/12/2019,NS Trend,18,NS Trend,NS Trend,cm
Bluestem,36.695208,-96.396675,Osage,US,Whole Lake,Conductivity (uS/cm),1,up,↑,1.38,40,NS,***,4/28/1998,8/22/2023,12.1%,25,255,290.01,uS/cm
Bluestem,36.695208,-96.396675,Osage,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,35,NS,***,4/28/1998,8/12/1999,NS Trend,1,NS Trend,NS Trend,mg/L
Bluestem,36.695208,-96.396675,Osage,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,26,***,***,10/29/2001,8/12/2019,NS Trend,18,NS Trend,NS Trend,NTU
Boomer,36.144222,-97.065161,Payne,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,1.822,19,**,***,9/14/2004,9/8/2020,96.7%,16,1,30.14,ug/L
Boomer,36.144222,-97.065161,Payne,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.03141,22,NS,NS,10/24/2001,10/12/2020,49.8%,19,0.6,1.20,mg/L
Boomer,36.144222,-97.065161,Payne,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,14,***,***,10/24/2001,9/8/2020,NS Trend,19,NS Trend,NS Trend,cm
Boomer,36.144222,-97.065161,Payne,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,7.19,24,***,NS,10/24/2001,10/12/2020,35.3%,19,250,386.43,uS/cm
Boomer,36.144222,-97.065161,Payne,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.001947,22,***,*,10/24/2001,9/8/2020,56.8%,19,0.028,0.06,mg/L
Boomer,36.144222,-97.065161,Payne,US,Whole Lake,Turbidity (NTU),-1,down,↓,-0.2677,17,***,**,10/24/2001,9/8/2020,-31.7%,19,21,15.94,NTU
BrokenBow,34.1475,-94.683056,McCurtain,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.2073,30,**,***,11/3/2003,10/16/2021,71.3%,18,1.5,5.22,ug/L
BrokenBow,34.1475,-94.683056,McCurtain,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,33,NS,***,11/29/2000,9/14/2021,NS Trend,21,NS Trend,NS Trend,mg/L
BrokenBow,34.1475,-94.683056,McCurtain,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,28,***,***,11/29/2000,7/27/2021,NS Trend,21,NS Trend,NS Trend,cm
BrokenBow,34.1475,-94.683056,McCurtain,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,0.62,41,NS,***,11/29/2000,8/29/2023,37.0%,23,24,38.11,uS/cm
BrokenBow,34.1475,-94.683056,McCurtain,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,27,***,***,11/29/2000,7/27/2021,NS Trend,21,NS Trend,NS Trend,mg/L
BrokenBow,34.1475,-94.683056,McCurtain,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,29,***,***,11/29/2000,9/14/2021,NS Trend,21,NS Trend,NS Trend,NTU
CantonLake,36.093372,-98.588339,Blaine,US,Whole Lake,Chlorophyll (ug/L),1,up,↑,0.5037,35,NS,***,11/30/1998,7/16/2019,51.0%,21,10,20.40,ug/L
CantonLake,36.093372,-98.588339,Blaine,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.01595,36,NS,***,11/30/1998,7/16/2019,32.0%,21,0.7,1.03,mg/L
CantonLake,36.093372,-98.588339,Blaine,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,36,**,***,11/30/1998,7/16/2019,NS Trend,21,NS Trend,NS Trend,cm
CantonLake,36.093372,-98.588339,Blaine,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,15.52,37,NS,**,2/24/1998,7/20/2019,19.2%,21,1400,1732.34,uS/cm
CantonLake,36.093372,-98.588339,Blaine,US,Whole Lake,Total Phosphorus (mg/L),-2,down,↓↓,-0.001261,36,***,***,11/30/1998,8/22/2019,-53.5%,21,0.075,0.05,mg/L
CantonLake,36.093372,-98.588339,Blaine,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,36,  ,*,11/30/1998,7/16/2019,NS Trend,21,NS Trend,NS Trend,NTU
CarlAlbert,34.767789,-95.068258,Latimver,US,Whole Lake,Chlorophyll (ug/L),3,up,↑↑↑,0.1749,18,NS,***,11/19/2003,11/6/2022,66.1%,19,1.7,5.02,ug/L
CarlAlbert,34.767789,-95.068258,Latimver,US,Whole Lake,Total Nitrogen (mg/L),2,up,↑↑,0.00416,20,NS,**,11/28/2000,10/3/2022,20.2%,22,0.36,0.45,mg/L
CarlAlbert,34.767789,-95.068258,Latimver,US,Whole Lake,Secchi (cm),99,N/A,NEI,N/A,14,NS,*,NEI,NEI,NEI,NEI,NEI,NEI,cm
CarlAlbert,34.767789,-95.068258,Latimver,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,0.81,19,NS,NS,6/17/1997,8/11/2022,42.1%,25,28,48.39,uS/cm
CarlAlbert,34.767789,-95.068258,Latimver,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,20,NS,NS,11/28/2000,10/3/2022,NS Trend,22,NS Trend,NS Trend,mg/L
CarlAlbert,34.767789,-95.068258,Latimver,US,Whole Lake,Turbidity (NTU),99,N/A,NEI,N/A,14,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,NTU
CarlBlackwell,36.134231,-97.194942,Payne,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,26,NS,***,9/7/2004,9/27/2021,NS Trend,17,NS Trend,NS Trend,ug/L
CarlBlackwell,36.134231,-97.194942,Payne,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,34,**,***,5/18/1998,9/27/2021,NS Trend,23,NS Trend,NS Trend,mg/L
CarlBlackwell,36.134231,-97.194942,Payne,US,Whole Lake,Secchi (cm),2,up,↑↑,1.211,21,***,***,10/24/2001,9/27/2021,36.5%,20,42,66.15,cm
CarlBlackwell,36.134231,-97.194942,Payne,US,Whole Lake,Conductivity (uS/cm),99,N/A,NEI,N/A,8,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,uS/cm
CarlBlackwell,36.134231,-97.194942,Payne,US,Whole Lake,Total Phosphorus (mg/L),0,N/A,NS Trend,N/A,33,NS,***,5/18/1998,9/27/2021,NS Trend,23,NS Trend,NS Trend,mg/L
CarlBlackwell,36.134231,-97.194942,Payne,US,Whole Lake,Turbidity (NTU),0,N/A,NS Trend,N/A,25,***,***,10/24/2001,9/27/2021,NS Trend,20,NS Trend,NS Trend,NTU
Chandler,35.733669,-96.908456,Lincoln,US,Whole Lake,Chlorophyll (ug/L),99,N/A,NEI,N/A,15,NS,*,NEI,NEI,NEI,NEI,NEI,NEI,ug/L
Chandler,35.733669,-96.908456,Lincoln,US,Whole Lake,Total Nitrogen (mg/L),3,up,↑↑↑,0.02859,21,NS,NS,6/10/1998,10/2/2017,45.9%,19,0.65,1.20,mg/L
Chandler,35.733669,-96.908456,Lincoln,US,Whole Lake,Secchi (cm),99,N/A,NEI,N/A,13,NS,***,NEI,NEI,NEI,NEI,NEI,NEI,cm
Chandler,35.733669,-96.908456,Lincoln,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,6.58,16,NS,**,6/10/1998,10/2/2017,34.6%,19,240,367.11,uS/cm
Chandler,35.733669,-96.908456,Lincoln,US,Whole Lake,Total Phosphorus (mg/L),3,up,↑↑↑,0.0009148,21,NS,NS,6/10/1998,10/2/2017,38.7%,19,0.028,0.05,mg/L
Chandler,35.733669,-96.908456,Lincoln,US,Whole Lake,Turbidity (NTU),99,N/A,NEI,N/A,12,NS,*,NEI,NEI,NEI,NEI,NEI,NEI,NTU
Chickasha,35.131989,-98.132894,Caddo,US,Whole Lake,Chlorophyll (ug/L),0,N/A,NS Trend,N/A,32,NS,***,4/29/2003,9/27/2021,NS Trend,18,NS Trend,NS Trend,ug/L
Chickasha,35.131989,-98.132894,Caddo,US,Whole Lake,Total Nitrogen (mg/L),0,N/A,NS Trend,N/A,36,***,NS,11/15/1999,9/27/2021,NS Trend,22,NS Trend,NS Trend,mg/L
Chickasha,35.131989,-98.132894,Caddo,US,Whole Lake,Secchi (cm),0,N/A,NS Trend,N/A,25,NS,***,11/13/2006,9/27/2021,NS Trend,15,NS Trend,NS Trend,cm
Chickasha,35.131989,-98.132894,Caddo,US,Whole Lake,Conductivity (uS/cm),3,up,↑↑↑,29.78,32,***,***,11/15/1999,9/27/2021,24.6%,22,2000,2651.65,uS/cm
