Sheet_Source,Site_Parameter,Monitoring_Location_ID,Characteristic_Name,GAM_Percent_Change,Lower_CI,Upper_CI
Turbidity,121600030020-02_Turbidity,121600030020-02,Turbidity,-18312.58,-12405.99,11842.27
Sulfate,121300040080-04_Sulfate,121300040080-04,Sulfate,-17661.65,-20807.94,-13288.5
Sulfate,120420020300-02_Sulfate,120420020300-02,Sulfate,-10118.29,-12837.04,-6574.87
Secchi Depth,520700040370-01_Secchi,520700040370-01,Secchi,-9808.41,-9983.53,-9613.34
Total Nitrogen,520700030240-02_Total Nitrogen,520700030240-02,Total Nitrogen,-9295.77,-9431.09,-9139.52
Turbidity,121300040080-06_Turbidity,121300040080-06,Turbidity,-8606.24,-8836.57,-8162.58
Sulfate,121300030040-04_Sulfate,121300030040-04,Sulfate,-8462.28,-10660,-5865.69
Total Phosphorus,121300030040-04_Phosphorus,121300030040-04,Phosphorus,-8286.2,-10545.84,-5609.12
Sulfate,121300040080-05_Sulfate,121300040080-05,Sulfate,-8253.05,-10408.32,-5676.21
Turbidity,121300040080-02_Turbidity,121300040080-02,Turbidity,-7879.8,-8176.26,-7422.13
Sulfate,120420020300-03_Sulfate,120420020300-03,Sulfate,-7176.21,-8516.5,-5695.82
Chlorophyll,"120410010190-01_Chlorophyll a, corrected for pheophytin",120410010190-01,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120410010190-02_Chlorophyll a, corrected for pheophytin",120410010190-02,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120410010190-03_Chlorophyll a, corrected for pheophytin",120410010190-03,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420010250-01_Chlorophyll a, corrected for pheophytin",120420010250-01,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420010250-02_Chlorophyll a, corrected for pheophytin",120420010250-02,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420010250-03_Chlorophyll a, corrected for pheophytin",120420010250-03,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420010250-04_Chlorophyll a, corrected for pheophytin",120420010250-04,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420010250-05_Chlorophyll a, corrected for pheophytin",120420010250-05,"Chlorophyll a, corrected for pheophytin",,,
Total Phosphorus,621010010020-01_Phosphorus,621010010020-01,Phosphorus,-6818.81,-6525.58,-7198.25
Turbidity,121510010020-05_Turbidity,121510010020-05,Turbidity,-6595.4,-9598.37,-2630.32
Turbidity,121510010020-06_Turbidity,121510010020-06,Turbidity,-6127.81,-8866.67,-2861.22
Chlorophyll,"120420020130-04_Chlorophyll a, corrected for pheophytin",120420020130-04,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420020130-05_Chlorophyll a, corrected for pheophytin",120420020130-05,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420020300-01_Chlorophyll a, corrected for pheophytin",120420020300-01,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420020300-02_Chlorophyll a, corrected for pheophytin",120420020300-02,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420020300-03_Chlorophyll a, corrected for pheophytin",120420020300-03,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420020300-04_Chlorophyll a, corrected for pheophytin",120420020300-04,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"120420020300-05_Chlorophyll a, corrected for pheophytin",120420020300-05,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300020190-01_Chlorophyll a, corrected for pheophytin",121300020190-01,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300020190-02_Chlorophyll a, corrected for pheophytin",121300020190-02,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300020190-03_Chlorophyll a, corrected for pheophytin",121300020190-03,"Chlorophyll a, corrected for pheophytin",,,
Turbidity,121510010020-07_Turbidity,121510010020-07,Turbidity,-6051.09,-8528.17,-2974.78
Turbidity,121600030020-03_Turbidity,121600030020-03,Turbidity,-5940.76,-6864.62,-2372.45
Total Nitrogen,120420010250-02_Total Nitrogen,120420010250-02,Total Nitrogen,-5564.86,-5884.9,-5180.04
Sulfate,121500040020-03_Sulfate,121500040020-03,Sulfate,-5413.51,-5767.33,-5020.21
Chlorophyll,"121300030040-05_Chlorophyll a, corrected for pheophytin",121300030040-05,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300030230-01_Chlorophyll a, corrected for pheophytin",121300030230-01,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300030230-02_Chlorophyll a, corrected for pheophytin",121300030230-02,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300030230-03_Chlorophyll a, corrected for pheophytin",121300030230-03,"Chlorophyll a, corrected for pheophytin",,,
Sulfate,121300030040-03_Sulfate,121300030040-03,Sulfate,-5409.14,-6949.34,-3701.91
Sulfate,121300030040-02_Sulfate,121300030040-02,Sulfate,-5183.36,-6728.38,-3472.55
Chlorophyll,"121300030300-03_Chlorophyll a, corrected for pheophytin",121300030300-03,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300030300-04_Chlorophyll a, corrected for pheophytin",121300030300-04,"Chlorophyll a, corrected for pheophytin",,,
Chlorophyll,"121300030300-05_Chlorophyll a, corrected for pheophytin",121300030300-05,"Chlorophyll a, corrected for pheophytin",,,
