Lake,Monitoring_Location_ID,Characteristic_Name,GAM_Percent_Change,Lower_CI,Upper_CI
Altus Reservoir,311510010020-01,"Chlorophyll a, corrected for pheophytin",-19.68,-19.69,-19.68
Altus Reservoir,311510010020-02,"Chlorophyll a, corrected for pheophytin",-26.78,-26.79,-26.78
Altus Reservoir,311510010020-03,"Chlorophyll a, corrected for pheophytin",-29.85,-29.86,-29.85
Altus Reservoir,311510010020-04,"Chlorophyll a, corrected for pheophytin",,,
Altus Reservoir,311510010020-05,"Chlorophyll a, corrected for pheophytin",,,
American Horse Lake,520620010100-01,"Chlorophyll a, corrected for pheophytin",,,
American Horse Lake,520620010100-02,"Chlorophyll a, corrected for pheophytin",,,
American Horse Lake,520620010100-03,"Chlorophyll a, corrected for pheophytin",,,
American Horse Lake,520620010100-04,"Chlorophyll a, corrected for pheophytin",,,
Arbuckle Reservoir,310800020100-01,"Chlorophyll a, corrected for pheophytin",,,
Arbuckle Reservoir,310800020100-02,"Chlorophyll a, corrected for pheophytin",-358.71,-362.99,-354.42
Arbuckle Reservoir,310800020100-03,"Chlorophyll a, corrected for pheophytin",-362.4,-366.73,-358.08
Arbuckle Reservoir,310800020100-04,"Chlorophyll a, corrected for pheophytin",186.31,183.97,188.66
Arbuckle Reservoir,310800020100-05,"Chlorophyll a, corrected for pheophytin",-513.16,-519.19,-507.12
Arcadia Lake,520710020020-01,"Chlorophyll a, corrected for pheophytin",-20.12,-20.13,-20.11
Arcadia Lake,520710020020-02,"Chlorophyll a, corrected for pheophytin",-28.14,-28.15,-28.14
Arcadia Lake,520710020020-03,"Chlorophyll a, corrected for pheophytin",12.67,12.66,12.67
Arcadia Lake,520710020020-04,"Chlorophyll a, corrected for pheophytin",64.9,64.88,64.92
Arcadia Lake,520710020020-05,"Chlorophyll a, corrected for pheophytin",154.06,154,154.12
Ardmore City Lake,310800030070-01,"Chlorophyll a, corrected for pheophytin",,,
Ardmore City Lake,310800030070-02,"Chlorophyll a, corrected for pheophytin",,,
Ardmore City Lake,310800030070-03,"Chlorophyll a, corrected for pheophytin",,,
Atoka Lake,410400080020-01,"Chlorophyll a, corrected for pheophytin",-678.56,-763.73,-590.06
Atoka Lake,410400080020-02,"Chlorophyll a, corrected for pheophytin",-385.58,-389.03,-382.13
Atoka Lake,410400080020-03,"Chlorophyll a, corrected for pheophytin",-362.68,-365.93,-359.42
Atoka Lake,410400080020-04,"Chlorophyll a, corrected for pheophytin",-383.04,-386.47,-379.61
Atoka Lake,410400080020-05,"Chlorophyll a, corrected for pheophytin",-271.91,-274.37,-269.45
Bellcow Lake,520720040025-01,"Chlorophyll a, corrected for pheophytin",75.39,61.44,90.27
Bellcow Lake,520720040025-02,"Chlorophyll a, corrected for pheophytin",305.51,298.37,312.86
Bellcow Lake,520720040025-03,"Chlorophyll a, corrected for pheophytin",443.92,436.02,452.02
Bellcow Lake,520720040025-04,"Chlorophyll a, corrected for pheophytin",,,
Bellcow Lake,520720040025-05,"Chlorophyll a, corrected for pheophytin",,,
Birch Lake,121300030040-01,"Chlorophyll a, corrected for pheophytin",-74.21,-74.27,-74.15
Birch Lake,121300030040-02,"Chlorophyll a, corrected for pheophytin",-69.62,-69.68,-69.57
Birch Lake,121300030040-03,"Chlorophyll a, corrected for pheophytin",-20.69,-20.7,-20.67
Birch Lake,121300030040-04,"Chlorophyll a, corrected for pheophytin",-45.94,-45.98,-45.91
Birch Lake,121300030040-05,"Chlorophyll a, corrected for pheophytin",,,
Bixhoma Lake,120410010190-01,"Chlorophyll a, corrected for pheophytin",,,
Bixhoma Lake,120410010190-02,"Chlorophyll a, corrected for pheophytin",,,
Bixhoma Lake,120410010190-03,"Chlorophyll a, corrected for pheophytin",,,
Bluestem Lake,121300030300-01,"Chlorophyll a, corrected for pheophytin",28.04,28.02,28.05
Bluestem Lake,121300030300-02,"Chlorophyll a, corrected for pheophytin",-58.42,-58.43,-58.41
Bluestem Lake,121300030300-03,"Chlorophyll a, corrected for pheophytin",,,
Bluestem Lake,121300030300-04,"Chlorophyll a, corrected for pheophytin",,,
Bluestem Lake,121300030300-05,"Chlorophyll a, corrected for pheophytin",,,
Boomer Lake,620900040190-01,"Chlorophyll a, corrected for pheophytin",617.53,483.86,773.27
Boomer Lake,620900040190-02,"Chlorophyll a, corrected for pheophytin",681.63,542.86,845.19
Boomer Lake,620900040190-03,"Chlorophyll a, corrected for pheophytin",788.15,612.07,1003.99
Boomer Lake,620900040190-04,"Chlorophyll a, corrected for pheophytin",175.89,8.24,356.65
Boomer Lake,620900040190-05,"Chlorophyll a, corrected for pheophytin",413.2,411.68,414.71
Broken Bow Lake,410210050020-01,"Chlorophyll a, corrected for pheophytin",,,
Broken Bow Lake,410210050020-02,"Chlorophyll a, corrected for pheophytin",,,
Broken Bow Lake,410210050020-03,"Chlorophyll a, corrected for pheophytin",,,
Broken Bow Lake,410210050020-04,"Chlorophyll a, corrected for pheophytin",,,
Broken Bow Lake,410210050020-05,"Chlorophyll a, corrected for pheophytin",,,
Broken Bow Lake,410210050020-06,"Chlorophyll a, corrected for pheophytin",,,
Broken Bow Lake,410210050020-07,"Chlorophyll a, corrected for pheophytin",,,
Broken Bow Lake,410210050020-08,"Chlorophyll a, corrected for pheophytin",,,
Brooks Lake,520500020040-01,"Chlorophyll a, corrected for pheophytin",,,
Brooks Lake,520500020040-02,"Chlorophyll a, corrected for pheophytin",,,
Brown Lake,220600030090-01,"Chlorophyll a, corrected for pheophytin",556.31,398.89,759.57
Brown Lake,220600030090-02,"Chlorophyll a, corrected for pheophytin",299.91,211.65,407.62
Brown Lake,220600030090-03,"Chlorophyll a, corrected for pheophytin",140.09,118.59,162.78
Brushy Creek Reservoir,220200030040-01,"Chlorophyll a, corrected for pheophytin",302.08,291.52,312.66
Brushy Creek Reservoir,220200030040-02,"Chlorophyll a, corrected for pheophytin",-505.48,-522.56,-488.38
Brushy Creek Reservoir,220200030040-03,"Chlorophyll a, corrected for pheophytin",425.59,410.66,440.53
Brushy Creek Reservoir,220200030040-04,"Chlorophyll a, corrected for pheophytin",621.94,600.79,643.22
Brushy Creek Reservoir,220200030040-05,"Chlorophyll a, corrected for pheophytin",44.29,42.91,45.67
Canton Lake,720500010020-01,"Chlorophyll a, corrected for pheophytin",904.56,699.79,1180.54
Canton Lake,720500010020-02,"Chlorophyll a, corrected for pheophytin",365.72,285.63,468.75
Canton Lake,720500010020-03,"Chlorophyll a, corrected for pheophytin",33.25,17.97,49.85
Canton Lake,720500010020-04,"Chlorophyll a, corrected for pheophytin",,,
Canton Lake,720500010020-05,"Chlorophyll a, corrected for pheophytin",,,
Carl Albert Lake,410310010220-01,"Chlorophyll a, corrected for pheophytin",792.29,786.77,797.82
Carl Albert Lake,410310010220-02,"Chlorophyll a, corrected for pheophytin",115.77,115.12,116.43
Carl Albert Lake,410310010220-03,"Chlorophyll a, corrected for pheophytin",554.04,550.54,557.54
Carter Lake,310800010040-01,"Chlorophyll a, corrected for pheophytin",,,
Carter Lake,310800010040-02,"Chlorophyll a, corrected for pheophytin",,,
Carter Lake,310800010040-03,"Chlorophyll a, corrected for pheophytin",,,
Cedar (Mena) Lake,220100020060-01,"Chlorophyll a, corrected for pheophytin",-83.02,-83.03,-83.02
Cedar (Mena) Lake,220100020060-02,"Chlorophyll a, corrected for pheophytin",,,
Cedar (Mena) Lake,220100020060-03,"Chlorophyll a, corrected for pheophytin",,,
Chandler Lake,520700050060-01,"Chlorophyll a, corrected for pheophytin",,,
Chandler Lake,520700050060-02,"Chlorophyll a, corrected for pheophytin",,,
Chandler Lake,520700050060-03,"Chlorophyll a, corrected for pheophytin",,,
Chelsea Reservoir,121510010060-01,"Chlorophyll a, corrected for pheophytin",,,
Chelsea Reservoir,121510010060-02,"Chlorophyll a, corrected for pheophytin",,,
Chelsea Reservoir,121510010060-03,"Chlorophyll a, corrected for pheophytin",,,
Claremore,121500040020-01,"Chlorophyll a, corrected for pheophytin",,,
Claremore,121500040020-02,"Chlorophyll a, corrected for pheophytin",,,
Claremore,121500040020-03,"Chlorophyll a, corrected for pheophytin",,,
Claremore,121500040020-04,"Chlorophyll a, corrected for pheophytin",,,
Claremore,121500040020-05,"Chlorophyll a, corrected for pheophytin",,,
Clayton Lake,410300030780-01,"Chlorophyll a, corrected for pheophytin",,,
Clayton Lake,410300030780-02,"Chlorophyll a, corrected for pheophytin",,,
Clayton Lake,410300030780-03,"Chlorophyll a, corrected for pheophytin",,,
Clear Creek Lake,310810040120-01,"Chlorophyll a, corrected for pheophytin",,,
Clear Creek Lake,310810040120-02,"Chlorophyll a, corrected for pheophytin",,,
Clear Creek Lake,310810040120-03,"Chlorophyll a, corrected for pheophytin",,,
Clear Creek Lake,310810040120-04,"Chlorophyll a, corrected for pheophytin",,,
Clear Creek Lake,310810040120-05,"Chlorophyll a, corrected for pheophytin",,,
Cleveland City Lake,621200010270-01,"Chlorophyll a, corrected for pheophytin",95.61,94.82,96.4
Cleveland City Lake,621200010270-02,"Chlorophyll a, corrected for pheophytin",640.07,634.4,645.75
Cleveland City Lake,621200010270-03,"Chlorophyll a, corrected for pheophytin",400.66,397.2,404.12
Clinton Lake,310830030280-01,"Chlorophyll a, corrected for pheophytin",51.94,51.91,51.97
Clinton Lake,310830030280-02,"Chlorophyll a, corrected for pheophytin",32.17,32.16,32.17
Clinton Lake,310830030280-03,"Chlorophyll a, corrected for pheophytin",80.19,80.16,80.21
Clinton Lake,310830030280-04,"Chlorophyll a, corrected for pheophytin",,,
Clinton Lake,310830030280-05,"Chlorophyll a, corrected for pheophytin",,,
Coalgate City Lake,410400060040-01,"Chlorophyll a, corrected for pheophytin",,,
Coalgate City Lake,410400060040-02,"Chlorophyll a, corrected for pheophytin",,,
Coalgate City Lake,410400060040-03,"Chlorophyll a, corrected for pheophytin",,,
Coalgate City Lake,410400060040-04,"Chlorophyll a, corrected for pheophytin",,,
Coalgate City Lake,410400060040-05,"Chlorophyll a, corrected for pheophytin",,,
Comanche Lake,311100040170-01,"Chlorophyll a, corrected for pheophytin",,,
Comanche Lake,311100040170-02,"Chlorophyll a, corrected for pheophytin",,,
Comanche Lake,311100040170-03,"Chlorophyll a, corrected for pheophytin",,,
Copan Lake,121400050020-01,"Chlorophyll a, corrected for pheophytin",-16.67,-16.76,-16.58
Copan Lake,121400050020-02,"Chlorophyll a, corrected for pheophytin",34.23,34.05,34.41
Copan Lake,121400050020-03,"Chlorophyll a, corrected for pheophytin",97.22,96.7,97.74
Copan Lake,121400050020-04,"Chlorophyll a, corrected for pheophytin",-58.27,-58.57,-57.97
Copan Lake,121400050020-05,"Chlorophyll a, corrected for pheophytin",-1.76,-1.77,-1.75
Crowder Lake,310830060120-001RS,"Chlorophyll a, corrected for pheophytin",-5.3,-5.34,-5.26
Crowder Lake,310830060120-002RS,"Chlorophyll a, corrected for pheophytin",-48.01,-48.34,-47.67
Crowder Lake,310830060130-01,"Chlorophyll a, corrected for pheophytin",-84.03,-87.79,-80.26
Crowder Lake,310830060130-02,"Chlorophyll a, corrected for pheophytin",-1949.03,-2030.59,-1866.98
Crowder Lake,310830060130-03,"Chlorophyll a, corrected for pheophytin",-1297.88,-1353.54,-1242.01
Cushing  Municipal Lake,620900020120-01,"Chlorophyll a, corrected for pheophytin",,,
Cushing  Municipal Lake,620900020120-02,"Chlorophyll a, corrected for pheophytin",,,
Cushing  Municipal Lake,620900020120-03,"Chlorophyll a, corrected for pheophytin",,,
Cushing  Municipal Lake,620900020120-04,"Chlorophyll a, corrected for pheophytin",,,
Cushing  Municipal Lake,620900020120-05,"Chlorophyll a, corrected for pheophytin",,,
Dripping Springs Lake,520700020060-01,"Chlorophyll a, corrected for pheophytin",,,
Dripping Springs Lake,520700020060-02,"Chlorophyll a, corrected for pheophytin",1003.45,702.1,1344.4
Dripping Springs Lake,520700020060-03,"Chlorophyll a, corrected for pheophytin",637.92,452.1,839.27
Dripping Springs Lake,520700020060-04,"Chlorophyll a, corrected for pheophytin",,,
Dripping Springs Lake,520700020060-05,"Chlorophyll a, corrected for pheophytin",,,
Duncan Lake,310810040080-01,"Chlorophyll a, corrected for pheophytin",,,
Duncan Lake,310810040080-02,"Chlorophyll a, corrected for pheophytin",,,
Duncan Lake,310810040080-03,"Chlorophyll a, corrected for pheophytin",,,
Duncan Lake,310810040080-04,"Chlorophyll a, corrected for pheophytin",,,
Duncan Lake,310810040080-05,"Chlorophyll a, corrected for pheophytin",,,
Elk City Lake,311500030120-01,"Chlorophyll a, corrected for pheophytin",,,
Elk City Lake,311500030120-02,"Chlorophyll a, corrected for pheophytin",,,
Elk City Lake,311500030120-03,"Chlorophyll a, corrected for pheophytin",,,
Elmer Thomas Lake,311300040050-01,"Chlorophyll a, corrected for pheophytin",546.21,-900.17,2721.34
Elmer Thomas Lake,311300040050-02,"Chlorophyll a, corrected for pheophytin",,,
Elmer Thomas Lake,311300040050-03,"Chlorophyll a, corrected for pheophytin",,,
Elmer Thomas Lake,311300040050-04,"Chlorophyll a, corrected for pheophytin",,,
Elmer Thomas Lake,311300040050-05,"Chlorophyll a, corrected for pheophytin",,,
Elmer Thomas Lake,620910050070-01,"Chlorophyll a, corrected for pheophytin",,,
Elmer Thomas Lake,620910050070-02,"Chlorophyll a, corrected for pheophytin",,,
Elmer Thomas Lake,620910050070-03,"Chlorophyll a, corrected for pheophytin",,,
Eucha Lake,121600050070-01,"Chlorophyll a, corrected for pheophytin",146.55,144.77,148.34
Eucha Lake,121600050070-02,"Chlorophyll a, corrected for pheophytin",100.98,-40.14,273.58
Eucha Lake,121600050070-03,"Chlorophyll a, corrected for pheophytin",-121.4,-125.1,-117.68
Eucha Lake,121600050070-04,"Chlorophyll a, corrected for pheophytin",0.71,0.71,0.71
Eucha Lake,121600050070-05,"Chlorophyll a, corrected for pheophytin",12.23,12.21,12.25
Eufaula Lake,220600010020-05,"Chlorophyll a, corrected for pheophytin",,,
Eufaula Lake,220600010020-06,"Chlorophyll a, corrected for pheophytin",,,
Eufaula Lake,220600010020-07,"Chlorophyll a, corrected for pheophytin",528.67,528.39,528.95
Eufaula Lake,220600010050-09,"Chlorophyll a, corrected for pheophytin",-108.62,-108.76,-108.47
Eufaula Lake,220600010050-10,"Chlorophyll a, corrected for pheophytin",-155.55,-155.75,-155.35
