Start_Date,Well_ID,Aquifer,County,Parameter,Unit,ResultRaw,ResultNum,Result_0.5,DetectionCondition,Latitude,Longitude,ActivityIdentifier,ActivityType,QualifierCode,SampleFraction,Status,MethodSpeciation,WaterbodyName
7/29/2013,20957,Elk City,Washita,Arsenic,ug/L,<10,10,5,Present Below Quantification Limit,35.38307257,-99.2402772,5000001.01.A,Sample-Routine,,Dissolved,Final,as As,Elk City
7/29/2013,20957,Elk City,Washita,Iron,ug/L,<50,50,25,Present Below Quantification Limit,35.38307257,-99.2402772,5000001.01.A,Sample-Routine,,Dissolved,Final,,Elk City
7/29/2013,20957,Elk City,Washita,Manganese,ug/L,<50,50,25,Present Below Quantification Limit,35.38307257,-99.2402772,5000001.01.A,Sample-Routine,,Dissolved,Final,,Elk City
7/29/2013,20957,Elk City,Washita,Sodium,mg/L,40.2,40.2,40.2,,35.38307257,-99.2402772,5000001.01.A,Sample-Routine,,Dissolved,Final,,Elk City
7/29/2013,20957,Elk City,Washita,Total hardness,mg/L,272,272,272,,35.38307257,-99.2402772,5000001.01.A,Sample-Routine,,Total,Final,,Elk City
7/29/2013,20957,Elk City,Washita,Fluoride,mg/L,0.35,0.35,0.35,,35.38307257,-99.2402772,5000001.01.B,Sample-Routine,,Dissolved,Final,as F,Elk City
7/29/2013,20957,Elk City,Washita,Specific conductance,uS/cm,674,674,674,,35.38307257,-99.2402772,5000001.01.B,Sample-Routine,,,Final,,Elk City
7/29/2013,20957,Elk City,Washita,Nitrate and Nitrite,mg/L,6.77,6.77,6.77,,35.38307257,-99.2402772,5000001.01.C,Sample-Routine,,Dissolved,Final,as N,Elk City
7/29/2013,20957,Elk City,Washita,Total dissolved solids,mg/L,399,399,399,,35.38307257,-99.2402772,5000001.01.D,Sample-Routine,,,Final,,Elk City
7/29/2013,20957,Elk City,Washita,Specific conductance,uS/cm,655.4,655.4,655.4,,35.38307257,-99.2402772,5000001.01.Field,Field Msr/Obs,,,Final,,Elk City
7/29/2013,20957,Elk City,Washita,Total hardness,mg/L,296,296,296,,35.38307257,-99.2402772,5000001.01.Field,Field Msr/Obs,,,Final,as CaCO3,Elk City
7/29/2013,72304,Elk City,Washita,Arsenic,ug/L,<10,10,5,Present Below Quantification Limit,35.417316,-99.352383,5000001.02.A,Sample-Routine,,Dissolved,Final,as As,Elk City
