Name,Monitoring_ID,Monitoring Location ID,Monitoring Location Name,Site,mean_Result,Result Units,Characteristic,County,State,Country,Latitude,Longitude
Altus,3.1151E+11,311510010020-01,"Altus Reservoir, Site 1",1,0.85625,mg/l,Total Nitrogen,Greer,OK,US,34.887219,-99.294858
Altus,3.1151E+11,311510010020-02,"Altus Reservoir, Site 2",2,0.796363636,mg/l,Total Nitrogen,Greer,OK,US,34.902472,-99.293703
Altus,3.1151E+11,311510010020-03,"Altus Reservoir, Site 3",3,0.823333333,mg/l,Total Nitrogen,Greer,OK,US,34.927333,-99.313008
Altus,3.1151E+11,311510010020-04,"Altus Reservoir, Site 4",4,0.821666667,mg/l,Total Nitrogen,Greer,OK,US,34.958308,-99.332197
Altus,3.1151E+11,311510010020-05,"Altus Reservoir, Site 5",5,0.799375,mg/l,Total Nitrogen,Greer,OK,US,34.92359,-99.29111
American Horse,5.2062E+11,520620010100-01,"American Horse Lake, Site 1",1,0.657291667,mg/l,Total Nitrogen,Blaine,OK,US,35.6287,-98.506811
American Horse,5.2062E+11,520620010100-02,"American Horse Lake, Site 2",2,0.566785714,mg/l,Total Nitrogen,Blaine,OK,US,35.630394,-98.503875
American Horse,5.2062E+11,520620010100-03,"American Horse Lake, Site 3",3,0.6175,mg/l,Total Nitrogen,Blaine,OK,US,35.633011,-98.501278
Arbuckle,3.108E+11,310800020100-01,"Arbuckle Reservoir, Site 1",1,0.561530612,mg/l,Total Nitrogen,Murray,OK,US,34.433106,-97.026622
Arbuckle,3.108E+11,310800020100-02,"Arbuckle Reservoir, Site 2",2,0.544117647,mg/l,Total Nitrogen,Murray,OK,US,34.466564,-97.038078
Arbuckle,3.108E+11,310800020100-03,"Arbuckle Reservoir, Site 3",3,0.494411765,mg/l,Total Nitrogen,Murray,OK,US,34.460692,-97.012542
Arbuckle,3.108E+11,310800020100-04,"Arbuckle Reservoir, Site 4",4,0.522058824,mg/l,Total Nitrogen,Murray,OK,US,34.421928,-96.986506
Arbuckle,3.108E+11,310800020100-05,"Arbuckle Reservoir, Site 5",5,0.518333333,mg/l,Total Nitrogen,Murray,OK,US,34.441174,-97.014794
Arcadia,5.2071E+11,520710020020-01,"Arcadia Lake, Site 1",1,0.883385417,mg/l,Total Nitrogen,Oklahoma,OK,US,35.64894,-97.36424
Arcadia,5.2071E+11,520710020020-02,"Arcadia Lake, Site 2",2,0.876666667,mg/l,Total Nitrogen,Oklahoma,OK,US,35.635114,-97.371411
Arcadia,5.2071E+11,520710020020-03,"Arcadia Lake, Site 3",3,0.902716049,mg/l,Total Nitrogen,Oklahoma,OK,US,35.644892,-97.385269
Arcadia,5.2071E+11,520710020020-04,"Arcadia Lake, Site 4",4,0.922283951,mg/l,Total Nitrogen,Oklahoma,OK,US,35.6277,-97.393867
Arcadia,5.2071E+11,520710020020-05,"Arcadia Lake, Site 5",5,1.061111111,mg/l,Total Nitrogen,Oklahoma,OK,US,35.615944,-97.4059
Ardmore City,3.108E+11,310800030070-01,"Ardmore City Lake, Site 1",1,0.553636364,mg/l,Total Nitrogen,Carter,OK,US,34.226781,-97.153578
Ardmore City,3.108E+11,310800030070-02,"Ardmore City Lake, Site 2",2,0.519444444,mg/l,Total Nitrogen,Carter,OK,US,34.223067,-97.154667
Ardmore City,3.108E+11,310800030070-03,"Ardmore City Lake, Site 3",3,0.511666667,mg/l,Total Nitrogen,Carter,OK,US,34.217464,-97.153589
Atoka,4.104E+11,410400080020-01,"Atoka Lake, Site 1",1,0.611770833,mg/l,Total Nitrogen,Atoka,OK,US,34.446236,-96.087172
Atoka,4.104E+11,410400080020-02,"Atoka Lake, Site 2",2,0.665285714,mg/l,Total Nitrogen,Atoka,OK,US,34.479039,-96.090781
Atoka,4.104E+11,410400080020-03,"Atoka Lake, Site 3",3,0.672857143,mg/l,Total Nitrogen,Atoka,OK,US,34.505228,-96.075431
Atoka,4.104E+11,410400080020-04,"Atoka Lake, Site 4",4,0.783382353,mg/l,Total Nitrogen,Atoka,OK,US,34.540172,-96.046244
Atoka,4.104E+11,410400080020-05,"Atoka Lake, Site 5",5,0.86546875,mg/l,Total Nitrogen,Atoka,OK,US,34.555869,-96.034128
