Stream,WaterbodySiteName,County,State,Country,USGS_ID,Monitoring_ID,Parameter,TrendConc,TrendConcNum,ConcentrationTrend,ChangeinConc_mg,Units_mg,ChangeinConc_ug,Units_ug,PerChangeConc,TrendFlux,TrendFluxNum,FluxTrend,ChangeinFlux,PerChangeFlux,Method,Latitude,Longitude,N
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,7249455,220200010010-001AT,Total Nitrogen,No Likely Trend,0,No Significant Trend,-0.149,mg/L,-149,ug/L,-0.1337,No Likely Trend,0,No Significant Trend,-3.1 10^6 kg/year,-0.0678,EGRET,35.39,-94.43,
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,7249455,220200010010-001AT,Total Phosphorus,Likely Upward,-1,↑,0.0311,mg/L,31.1,ug/L,0.3284,Likely Upward,-1,↑,1.23 10^6 kg/year,0.2965,EGRET,35.39,-94.43,
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,724955,220200010010-001AT,Specific Conductance,Likely Upward,-1,↑,118,uS/cm,118,uS/cm,0.2395,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.39,-94.43,
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,7249455,220200010010-001AT,Total hardness,No Likely Trend,0,No Significant Trend,20.4,mg/L,20.4,mg/L,0.162,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.39,-94.43,
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,7249455,220200010010-001AT,Chlorophyll a,Likely Downward,1,↓,-13.8,ug/L,-13.8,ug/L,-0.5878,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.39,-94.43,
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.08191,mg/L,0.08191,mg/L,0.2024,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.39,-94.43,96
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,,,"Temperature, water",No Likely Trend,0,No Significant Trend,No Significant Trend,deg C,No Significant Trend,deg C,0,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.39,-94.43,97
Arkansas River,"Arkansas River, off US 64, Moffett",Sequoyah,OK,US,,,Turbidity,Somewhat Likely Downward,2,↓↓,-0.2678,NTU,-0.2678,NTU,-0.2754,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.39,-94.43,98
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,7165570,120410010080-001AT,Total Nitrogen,Highly Likely Upward,-3,↑↑↑,0.225,mg/L,225,ug/L,0.1948,Highly Likely Upward,-3,↑↑↑,1.18 10^ kg/year,0.1123,EGRET,35.82,-95.64,
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,7165570,120410010080-001AT,Total Phosphorus,Highly Likely Upward,-3,↑↑↑,0.0354,mg/L,35.4,ug/L,0.1859,Likely Downward,1,↓,-0.353 10^6 kg/year,-0.1523,EGRET,35.82,-95.64,
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,7165570,120410010080-001AT,Specific Conductance,No Likely Trend,0,No Significant Trend,85.3,uS/cm,85.3,uS/cm,0.0561,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.82,-95.64,
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,7165570,120410010080-001AT,Total hardness,Likely Downward,1,↓,-1.92,mg/L,-1.92,mg/L,-0.0078,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.82,-95.64,
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,7165570,120410010080-001AT,Chlorophyll a,Highly Likely Upward,-3,↑↑↑,7.77,ug/L,7.77,ug/L,0.4017,Not Applicable,50,Not Applicable,Not Applicable,0,EGRET,35.82,-95.64,
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,,,Dissolved oxygen,Highly Likely Upward,-3,↑↑↑,0.1197,mg/L,0.1197,mg/L,0.2582,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.82,-95.64,176
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,,,"Temperature, water",Somewhat Likely Upward,-2,↑↑,0.09619,deg C,0.09619,deg C,0.1227,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.82,-95.64,177
Arkansas River,"Arkansas River, SH 104, Haskell",Muskogee,OK,US,,,Turbidity,Somewhat Likely Downward,2,↓↓,-0.2438,NTU,-0.2438,NTU,-0.6679,Not Applicable,50,Not Applicable,Not Applicable,0,Seasonal Kendall,35.82,-95.64,176
